,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
V1,1.052652908,1.100742151,1.135412849,1.110337845,1.025230624,1.025837928,0.916560143,1.063524978,1.02695319,1.064366457,1.028070879,1.077453054,1.053173972,1.101177658,1.112532623,1.112312754,1.087221722,1.086363446,1.085292504,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V2,1.096190047,1.082305069,1.020397955,1.057983607,1.070565323,1.082943848,1.085185526,1.111105032,1.112752578,1.08905007,1.076281215,0.878682409,0.975447664,1.024119099,1.073839223,1.085185526,1.071408288,1.020899231,1.018697292,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.021719972,0,0,0,0,0,0,0
V3,0.96980758,0.884083009,0.967910461,1.039182406,1.062311721,1.061586523,1.050650127,1.064597379,1.103372385,1.105105544,1.081029768,1.080393244,1.068044369,0.996102766,0.961453915,0.986376797,0.999636786,1.023816374,1.060799334,,,C,0.1,,,,0,0.011548006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V4,1.099329132,1.102158808,1.116394434,1.118168777,1.034320571,0.962169815,0.878577919,1.047479973,1.011261545,1.04788795,1.072917568,1.074803003,1.075222889,1.100352402,1.016305984,1.041114728,1.06563957,0.945191873,0.957591141,,,T,0.01,,,,0,0,0,0,0,0,0.016036804,0,0,0,0,0,0,0,0,0,0,0,0
V5,1.041522449,0.993079544,0.993760602,0.94584047,0.958624445,0.959471536,0.947512387,0.98501922,1.021903263,1.02240602,1.058399808,1.021401,0.959754232,0.910086498,0.873768753,0.776911996,0.802371612,0.875830946,1.02240602,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020104355,0.116922341,0.092262998,0.018033139,0
V6,0.851669812,0.803160959,0.779206028,0.730793365,0.950686633,0.853516706,0.879376471,0.843485327,0.843652073,0.892383027,0.965347979,0.989689402,0.977567574,1.00190779,0.806413587,0.76991052,0.831096637,0.965634149,0.990863875,,,,,,,,0.041616802,0.092470056,0.118777419,0.164762604,0,0.041203303,0.015238253,0.051955151,0.051659303,0.002029351,0,0,0,0,0.107563875,0.240846159,0.15580097,0,0
V7,0.845072082,0.894947854,0.895746836,0.920287845,0.920379143,0.993418154,1.005283891,1.004985085,0.992041139,1.049468416,1.099652641,1.135419716,1.110492,1.025232773,1.025721783,0.916396444,1.063397124,1.026895766,1.064199694,,,,,,,,0.089831334,0.093153216,0.121014031,0.140030727,0,0,0,0,0,0,0,0,0,0,0,0.218284052,0,0,0
V8,1.02793439,1.077319902,1.053091642,1.101364428,1.112803968,1.112476235,1.087431816,1.08663798,1.085636708,1.096610302,1.082837249,1.020835727,1.057928236,1.070466679,1.082872514,1.084695319,1.110599466,1.112221138,1.088702471,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027423071,0,0,0
V9,1.076273667,0.87909378,0.975817489,1.024301406,1.073723273,1.085333736,1.071811499,1.021440738,1.019381761,0.970149549,0.884396041,0.968253511,1.039615046,1.062713143,1.06190607,1.05054497,1.064171978,1.102688984,1.104487077,,,,,,,,0,0.016537235,0,0,0,0,0,0,0,0,0.01148661,0,0,0,0,0,0,0,0
